txSize	resTime	storjTime	time_WO_Storj	cpuPerc	memoryPerc	memoryUsed
89371.5 	 7423 	 180 	 7243 	 18.3 	 50.8 	 1.592520704 
89367.5 	 6469 	 297 	 6172 	 19.6 	 50.8 	 1.59277056 
89367.5 	 6516 	 552 	 5964 	 35.3 	 50.8 	 1.593024512 
92744.83333333333 	 7500 	 759 	 6741 	 66.7 	 50.8 	 1.591709696 
89371.5 	 7469 	 656 	 6813 	 42.9 	 50.8 	 1.591709696 
89367.5 	 7460 	 554 	 6906 	 33.3 	 50.8 	 1.593024512 
89371.5 	 6518 	 461 	 6057 	 100.0 	 50.8 	 1.59277056 
89371.5 	 7520 	 448 	 7072 	 26.9 	 50.7 	 1.59123456 
89371.5 	 6542 	 409 	 6133 	 29.0 	 50.8 	 1.59277056 
89371.5 	 7547 	 711 	 6836 	 33.3 	 50.8 	 1.591709696 
92744.83333333333 	 7497 	 608 	 6889 	 40.0 	 50.8 	 1.591709696 
92756.83333333333 	 7550 	 584 	 6966 	 25.0 	 50.8 	 1.591709696 
92744.83333333333 	 8488 	 400 	 8088 	 25.3 	 50.7 	 1.59123456 
89371.5 	 7176 	 439 	 6737 	 64.3 	 50.8 	 1.59287296 
92750.83333333333 	 6231 	 293 	 5938 	 17.7 	 50.8 	 1.59287296 
92756.83333333333 	 6283 	 641 	 5642 	 66.7 	 50.8 	 1.59287296 
89367.5 	 6272 	 458 	 5814 	 16.7 	 50.8 	 1.59287296 
92750.83333333333 	 7213 	 654 	 6559 	 23.2 	 50.8 	 1.59287296 
92750.83333333333 	 7207 	 379 	 6828 	 100.0 	 50.8 	 1.59287296 
89367.5 	 6247 	 677 	 5570 	 100.0 	 50.8 	 1.59287296 
89371.5 	 6263 	 491 	 5772 	 18.8 	 50.8 	 1.59287296 
89367.5 	 6300 	 851 	 5449 	 16.4 	 50.8 	 1.59287296 
89367.5 	 7273 	 631 	 6642 	 38.6 	 50.8 	 1.59307776 
92744.83333333333 	 7255 	 392 	 6863 	 29.4 	 50.8 	 1.59287296 
92760.83333333333 	 7287 	 803 	 6484 	 11.5 	 50.8 	 1.59307776 
89371.5 	 11243 	 512 	 10731 	 8.3 	 50.8 	 1.593102336 
92744.83333333333 	 10219 	 370 	 9849 	 100.0 	 50.7 	 1.591300096 
89371.5 	 10286 	 385 	 9901 	 100.0 	 50.8 	 1.591668736 
89371.5 	 9267 	 724 	 8543 	 25.0 	 50.7 	 1.59121408 
92750.83333333333 	 10250 	 170 	 10080 	 100.0 	 50.7 	 1.591300096 
89371.5 	 11250 	 699 	 10551 	 13.9 	 50.8 	 1.591631872 
92744.83333333333 	 10218 	 801 	 9417 	 28.6 	 50.7 	 1.59121408 
92744.83333333333 	 10255 	 349 	 9906 	 20.0 	 50.7 	 1.591300096 
89367.5 	 12239 	 416 	 11823 	 11.0 	 50.8 	 1.593102336 
89371.5 	 8326 	 425 	 7901 	 22.8 	 50.7 	 1.591283712 
92744.83333333333 	 8243 	 886 	 7357 	 100.0 	 50.8 	 1.591791616 
92744.83333333333 	 12243 	 185 	 12058 	 17.8 	 50.8 	 1.593253888 
92750.83333333333 	 7294 	 491 	 6803 	 32.3 	 50.8 	 1.591791616 
92750.83333333333 	 8327 	 216 	 8111 	 100.0 	 50.7 	 1.591283712 
92744.83333333333 	 11315 	 753 	 10562 	 43.8 	 50.8 	 1.591791616 
92750.83333333333 	 9267 	 584 	 8683 	 66.7 	 50.7 	 1.591283712 
92744.83333333333 	 12276 	 547 	 11729 	 28.0 	 50.8 	 1.593102336 
89371.5 	 9265 	 207 	 9058 	 17.6 	 50.7 	 1.591283712 
92744.83333333333 	 9249 	 565 	 8684 	 18.7 	 50.7 	 1.591283712 
92744.83333333333 	 9337 	 374 	 8963 	 83.3 	 50.7 	 1.59121408 
89367.5 	 10352 	 879 	 9473 	 100.0 	 50.7 	 1.591300096 
89367.5 	 8334 	 457 	 7877 	 50.0 	 50.7 	 1.591283712 
92744.83333333333 	 11357 	 566 	 10791 	 100.0 	 50.8 	 1.593102336 
89371.5 	 7261 	 558 	 6703 	 50.0 	 50.8 	 1.591791616 
89367.5 	 8337 	 672 	 7665 	 18.4 	 50.7 	 1.591283712 
92744.83333333333 	 9369 	 929 	 8440 	 100.0 	 50.7 	 1.59121408 
89367.5 	 8274 	 468 	 7806 	 19.1 	 50.7 	 1.591300096 
89367.5 	 7356 	 400 	 6956 	 37.5 	 50.8 	 1.591791616 
89367.5 	 12305 	 554 	 11751 	 66.7 	 50.8 	 1.593102336 
92756.83333333333 	 8316 	 793 	 7523 	 100.0 	 50.8 	 1.591791616 
89371.5 	 11306 	 758 	 10548 	 100.0 	 50.8 	 1.591791616 
89367.5 	 9332 	 702 	 8630 	 100.0 	 50.7 	 1.59121408 
89367.5 	 7322 	 496 	 6826 	 33.3 	 50.8 	 1.591791616 
92744.83333333333 	 10358 	 639 	 9719 	 23.3 	 50.7 	 1.591451648 
89371.5 	 10369 	 392 	 9977 	 42.1 	 50.8 	 1.591640064 
92750.83333333333 	 9329 	 411 	 8918 	 50.0 	 50.7 	 1.59121408 
89371.5 	 9364 	 909 	 8455 	 21.8 	 50.7 	 1.59121408 
92750.83333333333 	 11358 	 472 	 10886 	 7.7 	 50.8 	 1.591631872 
89371.5 	 11366 	 531 	 10835 	 18.5 	 50.8 	 1.591631872 
89371.5 	 9382 	 588 	 8794 	 19.1 	 50.7 	 1.59121408 
92750.83333333333 	 8354 	 396 	 7958 	 40.7 	 50.7 	 1.591140352 
92744.83333333333 	 8361 	 763 	 7598 	 23.4 	 50.8 	 1.591791616 
92744.83333333333 	 11359 	 534 	 10825 	 100.0 	 50.8 	 1.591631872 
89371.5 	 8350 	 280 	 8070 	 20.0 	 50.7 	 1.591140352 
89371.5 	 11340 	 346 	 10994 	 14.2 	 50.8 	 1.591640064 
89371.5 	 10354 	 380 	 9974 	 15.3 	 50.7 	 1.59121408 
92756.83333333333 	 10351 	 727 	 9624 	 100.0 	 50.7 	 1.59121408 
89371.5 	 11347 	 537 	 10810 	 17.3 	 50.7 	 1.591451648 
89371.5 	 10461 	 1090 	 9371 	 14.0 	 50.8 	 1.592905728 
89367.5 	 8497 	 653 	 7844 	 18.5 	 50.9 	 1.597464576 
92744.83333333333 	 11464 	 647 	 10817 	 40.8 	 50.8 	 1.592061952 
92756.83333333333 	 9474 	 1015 	 8459 	 18.7 	 50.9 	 1.595121664 
89367.5 	 8491 	 506 	 7985 	 35.6 	 50.9 	 1.597464576 
92744.83333333333 	 12381 	 668 	 11713 	 40.8 	 50.8 	 1.592061952 
89367.5 	 9442 	 230 	 9212 	 100.0 	 50.9 	 1.59698944 
89371.5 	 12374 	 740 	 11634 	 50.0 	 50.8 	 1.592061952 
89371.5 	 11420 	 566 	 10854 	 12.5 	 50.8 	 1.592635392 
89367.5 	 10441 	 793 	 9648 	 23.8 	 50.9 	 1.595121664 
92744.83333333333 	 9515 	 261 	 9254 	 100.0 	 50.8 	 1.594658816 
92744.83333333333 	 9444 	 554 	 8890 	 100.0 	 50.9 	 1.597464576 
89371.5 	 9452 	 562 	 8890 	 100.0 	 50.9 	 1.597464576 
89371.5 	 12426 	 755 	 11671 	 100.0 	 50.8 	 1.592434688 
89371.5 	 12382 	 325 	 12057 	 19.7 	 50.8 	 1.592832 
92756.83333333333 	 12369 	 770 	 11599 	 100.0 	 50.8 	 1.592061952 
92750.83333333333 	 11524 	 554 	 10970 	 24.7 	 50.8 	 1.593085952 
89367.5 	 10493 	 225 	 10268 	 18.0 	 50.8 	 1.594658816 
89367.5 	 9444 	 446 	 8998 	 27.8 	 50.9 	 1.59698944 
89367.5 	 12429 	 732 	 11697 	 28.1 	 50.8 	 1.592434688 
89371.5 	 10549 	 1095 	 9454 	 100.0 	 50.8 	 1.592905728 
