timeFrame	cpuPerc	memoryPerc	memoryUsed
66	4.4	14.3	0.29739008
67	5.4	14.3	0.29739008
68	4.4	14.3	0.29739008
69	4.1	14.3	0.29739008
70	5.4	14.3	0.29739008
71	6.5	14.3	0.29739008
72	5.4	14.3	0.29739008
73	6.4	14.3	0.297381888
74	5.4	14.3	0.297381888
75	2.3	14.3	0.297381888
76	6.3	14.3	0.297381888
77	3.2	14.3	0.297381888
78	8.4	14.3	0.297381888
79	9.4	14.3	0.297381888
80	3.3	14.3	0.297381888
81	11.3	14.3	0.297889792
82	6.4	14.3	0.297889792
83	5.4	14.3	0.297889792
84	2.2	14.3	0.297889792
85	6.3	14.3	0.297889792
86	5.4	14.3	0.297889792
87	6.5	14.3	0.297889792
88	5.4	14.3	0.297889792
89	4.3	14.3	0.297889792
90	7.6	14.3	0.297381888
91	6.4	14.3	0.297381888
92	7.3	14.3	0.297381888
93	5.4	14.3	0.297381888
94	4.3	14.3	0.297381888
95	4.3	14.3	0.297381888
96	5.5	14.3	0.297381888
97	6.4	14.3	0.297381888
98	5.5	14.4	0.2996224
99	5.4	14.4	0.299749376
100	6.2	14.4	0.299749376
101	1.1	14.4	0.299749376
102	5.4	14.4	0.299749376
103	5.5	14.4	0.299876352
104	5.5	14.4	0.299876352
105	6.5	14.4	0.299876352
106	4.3	14.4	0.29986816
107	7.4	14.4	0.29986816
108	3.3	14.4	0.299995136
109	7.5	14.4	0.299995136
110	4.3	14.4	0.299995136
111	6.4	14.4	0.299995136
112	5.3	14.4	0.300122112
113	4.3	14.4	0.300122112
114	5.4	14.4	0.300122112
115	4.4	14.4	0.300122112
116	4.3	14.4	0.300122112
117	3.3	14.4	0.300249088
118	5.3	14.4	0.300249088
119	3.3	14.4	0.300249088
120	4.4	14.4	0.299995136
121	3.3	14.4	0.299995136
122	4.4	14.4	0.299995136
123	8.5	14.4	0.299995136
124	2.2	14.4	0.299995136
125	5.4	14.4	0.299995136
126	4.4	14.4	0.299995136
127	8.4	14.4	0.299995136
128	6.5	14.4	0.299995136
129	4.4	14.4	0.299995136
130	4.1	14.4	0.299995136
131	10.3	14.4	0.299995136
132	5.4	14.4	0.299995136
133	6.5	14.4	0.299995136
134	4.3	14.4	0.299995136
135	6.5	14.4	0.299995136
136	7.5	14.4	0.299986944
137	4.3	14.4	0.299986944
138	4.3	14.4	0.299986944
139	5.4	14.4	0.299986944
140	6.5	14.4	0.30001152
141	6.5	14.5	0.300519424
142	9.5	14.5	0.300519424
143	5.4	14.5	0.300519424
144	4.4	14.5	0.300519424
145	4.4	14.5	0.300519424
146	4.3	14.5	0.300519424
147	6.5	14.5	0.300519424
148	7.3	14.5	0.300519424
149	3.3	14.5	0.300519424
150	5.3	14.5	0.300519424
151	5.4	14.4	0.299986944
152	4.4	14.4	0.299986944
153	4.3	14.4	0.299986944
154	7.5	14.4	0.299986944
155	6.5	14.4	0.299986944
156	5.4	14.4	0.299986944
157	6.5	14.4	0.299986944
158	6.5	14.4	0.299986944
159	6.5	14.4	0.299986944
160	4.3	14.4	0.299986944
161	2.1	14.4	0.299986944
162	5.4	14.4	0.299986944
163	4.4	14.4	0.30011392
164	4.4	14.4	0.30011392
165	8.3	14.4	0.30011392
166	6.5	14.4	0.30011392
