timeFrame	bandUsed
94	19.838440000000002
95	19.801940000000002
96	16.614649999999997
97	14.71347
98	21.91621
99	20.18413
100	18.30135
101	19.22887
102	19.6818
103	19.23887
104	19.89644
105	18.59649
106	19.14533
107	17.08793
108	17.66177
109	18.944490000000002
110	23.680889999999998
111	23.48668
112	22.49411
113	3.6082
114	3.6082
115	6.90781
116	6.90781
116	0.0507812
117	4.10918
117	0.0507812
118	14.24629
118	0.0507812
119	17.252580000000002
119	0.0507812
120	20.44666
120	0.0507812
121	23.443579999999997
122	16.83832
123	20.46792
124	19.162869999999998
125	16.20858
126	13.12403
127	13.08867
128	18.598860000000002
129	21.2562
130	20.833579999999998
131	20.95098
132	22.72188
133	16.36677
134	16.621450000000003
135	18.26053
136	21.591839999999998
137	16.91133
138	26.292
139	27.53
140	24.1543
141	26.9152
142	29.1434
143	21.458840000000002
144	19.296129999999998
145	3.382816
146	7.771089999999999
147	10.43594
148	13.09062
149	16.35076
150	19.72111
151	18.22144
152	19.00366
153	20.09496
154	21.387900000000002
155	19.4453
156	23.98943
157	23.43733
158	22.86094
159	20.89571
160	20.92226
161	17.28911
162	18.23833
163	18.41326
164	18.69023
165	18.507469999999998
166	17.59219
167	19.615479999999998
168	26.8619
169	26.4951
170	26.3998
171	28.6256
172	25.535
173	20.08361
174	20.53048
175	18.78279
176	19.26641
176	0.0507812
177	9.262889999999999
178	9.52558
179	17.28772
180	21.85395
181	24.816429999999997
182	21.6445
183	25.20942
184	17.48415
185	13.018360000000001
