timeFrame	cpuPerc	memoryPerc	memoryUsed
19	10.0	15.6	0.323756032
19	10.0	15.6	0.323756032
19	18.2	15.6	0.32372736
19	10.0	15.5	0.323006464
19	10.0	15.5	0.323006464
20	27.3	15.5	0.323006464
20	10.0	15.5	0.323006464
20	10.0	15.5	0.322965504
20	11.1	15.5	0.322965504
20	9.1	15.5	0.322965504
20	11.1	15.5	0.322953216
21	20.0	15.5	0.322953216
21	18.2	15.5	0.322932736
21	10.0	15.5	0.322932736
21	10.0	15.5	0.322932736
21	10.0	15.5	0.323059712
21	10.0	15.5	0.323088384
22	10.0	15.5	0.323088384
22	10.0	15.5	0.323059712
22	16.7	15.5	0.323059712
22	22.2	15.5	0.32321536
22	11.1	15.5	0.322584576
23	9.1	15.5	0.32268288
23	10.0	15.5	0.32268288
23	18.2	15.5	0.322650112
23	18.2	15.5	0.322777088
23	10.0	15.5	0.322715648
23	20.0	15.5	0.322715648
24	11.1	15.5	0.322715648
24	10.0	15.5	0.322715648
24	10.0	15.5	0.322715648
24	9.1	15.5	0.322674688
24	27.3	15.5	0.32270336
24	10.0	15.5	0.32270336
24	25.0	15.5	0.32270336
25	11.1	15.5	0.32270336
25	10.0	15.5	0.32270336
25	10.0	15.5	0.322674688
25	10.0	15.5	0.322801664
25	27.3	15.5	0.322830336
25	10.0	15.5	0.322830336
25	18.2	15.5	0.322830336
26	9.1	15.5	0.322830336
26	10.0	15.5	0.322830336
26	18.2	15.5	0.322801664
26	27.3	15.5	0.322801664
26	10.0	15.5	0.322822144
26	10.0	15.5	0.322822144
27	11.1	15.5	0.322822144
27	27.3	15.5	0.323088384
27	18.2	15.5	0.32321536
27	11.1	15.6	0.323362816
27	18.2	15.6	0.323362816
27	10.0	15.6	0.323362816
28	10.0	15.6	0.323342336
28	22.2	15.6	0.323342336
28	22.2	15.6	0.323354624
28	20.0	15.6	0.323354624
28	11.1	15.6	0.323354624
29	10.0	15.6	0.323354624
29	9.1	15.6	0.323354624
29	9.1	15.6	0.323469312
29	10.0	15.6	0.32362496
29	10.0	15.6	0.32362496
30	18.2	15.6	0.32362496
30	10.0	15.6	0.32362496
30	36.4	15.6	0.323723264
30	20.0	15.6	0.323608576
31	10.0	15.6	0.323608576
31	10.0	15.6	0.323608576
31	9.1	15.6	0.323596288
31	10.0	15.6	0.323596288
31	20.0	15.6	0.323751936
31	10.0	15.6	0.323751936
32	18.2	15.6	0.323751936
32	11.1	15.6	0.323751936
32	10.0	15.6	0.323723264
32	18.2	15.6	0.323723264
32	18.2	15.6	0.323751936
33	10.0	15.6	0.323751936
33	9.1	15.6	0.323723264
33	20.0	15.6	0.323723264
33	18.2	15.6	0.323817472
33	11.1	15.6	0.323719168
33	25.0	15.6	0.323719168
34	11.1	15.6	0.323719168
34	10.0	15.6	0.323719168
34	9.1	15.6	0.323690496
34	10.0	15.6	0.323764224
34	18.2	15.6	0.323915776
34	11.1	15.6	0.323731456
35	18.2	15.6	0.32382976
35	18.2	15.6	0.323821568
35	9.1	15.6	0.323821568
35	18.2	15.6	0.323842048
35	18.2	15.6	0.323842048
36	18.2	15.6	0.323842048
36	11.1	15.6	0.323842048
36	9.1	15.6	0.323842048
36	9.1	15.6	0.323821568
36	10.0	15.6	0.323821568
36	20.0	15.6	0.324169728
36	27.3	15.6	0.324071424
36	10.0	15.6	0.324071424
37	27.3	15.6	0.323801088
37	18.2	15.6	0.323801088
37	10.0	15.6	0.3237888
37	10.0	15.6	0.3237888
37	10.0	15.6	0.323428352
37	11.1	15.6	0.323428352
37	18.2	15.6	0.323534848
38	18.2	15.6	0.323534848
38	11.1	15.6	0.323854336
38	20.0	15.6	0.323616768
38	10.0	15.6	0.323616768
38	11.1	15.6	0.323616768
38	10.0	15.6	0.323616768
39	11.1	15.6	0.323616768
39	11.1	15.6	0.323977216
39	9.1	15.6	0.323977216
39	18.2	15.6	0.324104192
39	18.2	15.6	0.324231168
39	22.2	15.6	0.324358144
40	18.2	15.6	0.324612096
40	20.0	15.6	0.324612096
40	9.1	15.6	0.324612096
40	10.0	15.6	0.324739072
40	18.2	15.6	0.324866048
40	11.1	15.6	0.324624384
41	40.0	15.6	0.324624384
41	20.0	15.6	0.325029888
41	10.0	15.6	0.325062656
41	10.0	15.6	0.325062656
41	10.0	15.6	0.32417792
41	10.0	15.6	0.32417792
41	11.1	15.6	0.32417792
42	10.0	15.6	0.32417792
42	18.2	15.6	0.324460544
42	11.1	15.6	0.324714496
42	18.2	15.6	0.324345856
43	11.1	15.6	0.324345856
43	10.0	15.6	0.324345856
43	10.0	15.6	0.324345856
43	9.1	15.6	0.324333568
43	11.1	15.6	0.324333568
43	10.0	15.6	0.324493312
43	11.1	15.6	0.324386816
44	18.2	15.6	0.324386816
44	10.0	15.6	0.324620288
44	9.1	15.6	0.324612096
44	25.0	15.6	0.324513792
44	10.0	15.6	0.324513792
44	20.0	15.6	0.324513792
45	18.2	15.6	0.324513792
45	10.0	15.6	0.324612096
45	18.2	15.6	0.324513792
45	27.3	15.6	0.324513792
46	11.1	15.6	0.325025792
46	9.1	15.6	0.325025792
46	10.0	15.6	0.325025792
46	11.1	15.6	0.325279744
46	10.0	15.7	0.325533696
47	10.0	15.7	0.325660672
47	10.0	15.7	0.325660672
47	10.0	15.7	0.326168576
47	10.0	15.7	0.326168576
47	18.2	15.7	0.326168576
47	10.0	15.7	0.326168576
48	18.2	15.7	0.326295552
