timeFrame	cpuPerc	memoryPerc	memoryUsed
21	75.0	99.0	2.058543104
21	50.0	99.2	2.06149632
21	60.0	99.2	2.062721024
21	70.0	99.3	2.064244736
22	66.7	99.3	2.064379904
22	66.7	99.1	2.059784192
22	77.8	99.1	2.060455936
22	80.0	99.1	2.060795904
22	36.4	99.0	2.057506816
22	30.0	99.0	2.057252864
22	10.0	99.0	2.057506816
22	66.7	99.1	2.061164544
22	70.0	99.2	2.063269888
22	77.8	99.4	2.066190336
23	87.5	99.2	2.062659584
23	46.2	98.8	2.054529024
23	18.2	98.8	2.054529024
23	40.0	98.8	2.055012352
23	55.6	98.9	2.056241152
23	55.6	99.0	2.059087872
23	54.5	99.2	2.063069184
24	80.0	98.8	2.05504512
24	62.5	99.0	2.057207808
24	20.0	99.0	2.057412608
24	10.0	99.0	2.058174464
25	27.3	99.1	2.059300864
25	20.0	99.1	2.05989888
25	20.0	99.1	2.06102528
25	36.4	99.2	2.063245312
25	30.0	99.4	2.066284544
25	66.7	98.8	2.053054464
25	10.0	98.7	2.051899392
25	60.0	98.9	2.055409664
25	40.0	99.0	2.058571776
26	50.0	99.2	2.06176256
26	90.9	98.5	2.048147456
26	81.8	98.7	2.0528128
26	66.7	98.9	2.056105984
26	100.0	99.2	2.061914112
26	77.8	99.3	2.065268736
26	72.7	98.8	2.053537792
26	100.0	98.9	2.0562944
26	40.0	98.9	2.0570112
27	90.0	99.1	2.059874304
27	81.8	99.2	2.062884864
27	80.0	99.0	2.05922304
27	25.0	98.7	2.052665344
27	18.2	98.7	2.05279232
27	40.0	98.8	2.055118848
27	50.0	99.0	2.057404416
27	25.0	99.0	2.05897728
27	70.0	99.3	2.063622144
27	33.3	99.4	2.066935808
28	37.5	98.9	2.055880704
28	55.6	99.0	2.059272192
28	10.0	99.1	2.060013568
28	10.0	99.1	2.060222464
28	25.0	99.1	2.061111296
28	11.1	99.2	2.061398016
28	90.0	99.4	2.066276352
28	50.0	99.4	2.067402752
29	30.0	99.2	2.063003648
29	10.0	99.1	2.06092288
29	50.0	98.8	2.054823936
29	10.0	98.8	2.054856704
29	10.0	98.8	2.05498368
29	9.1	98.9	2.055319552
29	10.0	98.9	2.055876608
30	10.0	98.9	2.056257536
30	11.1	99.0	2.058993664
30	40.0	99.1	2.059866112
30	41.7	99.2	2.062503936
30	42.9	99.4	2.065637376
30	22.2	99.1	2.0599808
30	10.0	98.9	2.0564992
30	30.0	98.8	2.053722112
31	10.0	98.8	2.053603328
31	20.0	99.0	2.057854976
31	10.0	99.0	2.05785088
31	10.0	99.0	2.058059776
31	40.0	99.2	2.06200832
31	25.0	99.2	2.0625408
31	25.0	99.3	2.063683584
32	22.2	99.2	2.063269888
32	18.2	99.2	2.063269888
32	10.0	99.1	2.061082624
32	10.0	99.1	2.060947456
32	10.0	99.1	2.06067712
32	10.0	99.1	2.060541952
33	9.1	99.1	2.060443648
33	10.0	99.1	2.059513856
34	9.1	99.0	2.05922304
34	10.0	99.0	2.058276864
34	11.1	99.0	2.057572352
34	27.3	99.0	2.057281536
35	18.2	99.0	2.057281536
35	10.0	99.0	2.057293824
36	10.0	98.9	2.056302592
36	10.0	98.9	2.056278016
36	9.1	98.9	2.056278016
36	10.0	98.9	2.056278016
37	10.0	98.9	2.056241152
39	10.0	98.9	2.056646656
39	27.3	99.0	2.058346496
39	18.2	99.0	2.059005952
40	20.0	99.1	2.059767808
40	11.1	99.1	2.060402688
40	10.0	99.1	2.060910592
40	10.0	99.1	2.06127104
40	30.0	99.3	2.063650816
40	66.7	98.7	2.051039232
40	33.3	98.6	2.05092864
40	33.3	98.7	2.051391488
40	63.6	98.8	2.054750208
40	44.4	98.9	2.055426048
41	40.0	99.0	2.05856768
41	70.0	99.2	2.06237696
41	90.9	99.3	2.064818176
41	44.4	99.4	2.065965056
41	40.0	98.8	2.054217728
41	70.0	98.9	2.056974336
41	90.0	99.3	2.064392192
42	40.0	99.3	2.063740928
42	11.1	99.0	2.058412032
42	10.0	99.0	2.058141696
42	27.3	99.0	2.057781248
42	10.0	99.0	2.057760768
43	10.0	99.0	2.057396224
43	9.1	99.0	2.057314304
43	18.2	99.0	2.057314304
43	10.0	98.9	2.056953856
44	20.0	98.9	2.05668352
44	27.3	98.9	2.056593408
44	33.3	98.9	2.055917568
44	22.2	98.9	2.055786496
44	20.0	98.9	2.055786496
44	10.0	98.9	2.055426048
44	16.7	98.9	2.055426048
45	10.0	98.9	2.055426048
45	11.1	98.9	2.055532544
0	20.0	83.2	1.730707456
0	10.0	83.2	1.730121728
1	9.1	83.0	1.726472192
1	9.1	83.0	1.725095936
1	10.0	82.9	1.724440576
1	33.3	82.9	1.724264448
1	40.0	82.9	1.723793408
1	40.0	82.9	1.724121088
1	20.0	82.9	1.724502016
1	22.2	83.0	1.724755968
2	11.1	83.0	1.725710336
2	20.0	83.0	1.726345216
2	20.0	83.1	1.727225856
2	22.2	83.1	1.727352832
2	11.1	83.1	1.727479808
2	40.0	83.1	1.728512
2	33.3	83.2	1.728892928
3	27.3	83.2	1.729122304
3	20.0	83.2	1.729376256
3	18.2	83.2	1.729630208
3	30.0	83.2	1.730236416
3	36.4	83.3	1.731125248
