timeFrame	bandUsed
93	4.2546800000000005
94	3.279878
95	3.666602
96	2.957619
97	3.31855
98	2.971284
99	5.91855
100	5.80743
101	12.37032
102	58.18715
103	60.0184
104	56.53617
105	58.23265000000001
106	52.04281
107	0.7734375
108	1.3406259999999999
109	2.454882
110	2.906054
111	2.802925
112	3.144526
113	3.144526
114	2.829495
115	3.125976
116	25.7229
117	25.65117
118	26.64945
119	26.18461
120	27.07397
121	4.18145
122	3.344334
123	12.15352
124	12.0375
125	11.148050000000001
126	54.005300000000005
127	45.910000000000004
128	45.343599999999995
129	46.349070000000005
130	3.11719
131	3.6271500000000003
132	3.6271500000000003
133	2.416212
134	3.022074
135	2.8416029999999997
136	2.02305
137	1.920707
138	1.894917
139	46.52087
140	47.22828
141	47.78262
142	48.90329
143	48.90329
144	3.4265600000000003
145	2.873048
146	2.512105
147	2.512892
148	3.337886
149	2.873824
150	2.707031
151	3.312894
152	3.350779
153	2.5257840000000003
154	2.5257840000000003
155	1.9585919999999999
156	1.159375
165	12.810692000000001
166	25.95683
167	27.15252
168	34.32909
169	37.883779999999994
170	25.66448
171	5.774217999999999
172	6.316408000000001
173	6.612107999999999
174	12.827150000000001
175	61.19705
176	61.39123
177	56.18186
178	52.23395
179	51.98341
180	4.00098
181	3.511134
182	4.90332
183	3.724614
184	4.285355
185	4.259574
186	3.164647
187	2.056059
188	10.21973
189	10.22461
190	15.57302
191	22.84185
192	30.67224
193	22.83649
194	17.12632
195	22.86543
196	16.29202
197	49.5248
198	49.95666
199	50.730129999999996
200	44.953160000000004
201	45.437279999999994
202	3.317774
203	1.365625
204	1.5460980000000002
205	1.778128
206	1.778128
207	1.778128
208	1.4824249999999999
209	0.7863285
210	47.40704
211	48.894349999999996
212	49.693509999999996
213	50.736909999999995
214	51.78102
215	5.55996
216	4.36836
217	3.85996
218	3.85996
219	3.331442
220	2.9447229999999998
221	2.6490199999999997
222	2.378319
223	3.8511699999999998
224	10.93281
225	11.52422
226	15.7451
227	61.73923
228	62.8688
229	64.00317
230	56.19959
231	52.88669
232	4.8847700000000005
233	3.4595700000000003
234	3.794724
235	3.344339
236	0.8314457000000001
237	1.398636
238	1.398636
239	1.398636
240	8.88418
241	8.34844
242	13.82503
243	25.40504
244	26.31953
245	18.538310000000003
246	18.97593
247	69.17594
248	58.7553
249	58.13651
250	58.574819999999995
251	53.07222
252	2.886717
253	3.163088
254	3.241207
255	3.7310559999999997
256	4.31114
257	4.215235
258	3.370901
259	13.9525
260	12.779539999999999
261	14.96545
262	14.159730000000001
263	36.27458
264	26.07893
265	26.374630000000003
266	25.20054
267	26.06431
268	0.863672
269	37.618325
270	39.667159999999996
271	40.63321
272	41.2262
273	4.9275400000000005
274	4.9275400000000005
275	3.511917
276	3.511917
277	3.615041
278	3.718162
279	2.9898480000000003
280	2.5773460000000004
281	1.7652320000000001
282	0.901562
286	7.2375039999999995
287	35.12173
288	35.41743
289	44.01343
290	40.398270000000004
291	41.814640000000004
292	19.73745
293	20.033250000000002
294	16.86404
295	18.06851
296	18.66001
297	18.90415
298	19.199849999999998
299	19.10959
